COORD_X,COORD_Y,TRAM,Rang,LATITUDE,LONGITUDE
432128.893,4581047.606,T00001B,30-40 µg/m³,41.378088137839676,2.188333632708143
432156.649,4581054.946,T00002C,30-40 µg/m³,41.37815658797343,2.1886647114377156
432171.171,4581059.2,T00003D,30-40 µg/m³,41.37819612690795,2.1888378865381934
432185.863,4581063.068,T00004E,30-40 µg/m³,41.378232203308386,2.1890131378705044
432200.396,4581066.659,T00005F,30-40 µg/m³,41.37826577117888,2.189186519093676
432214.836,4581070.635,T00006G,30-40 µg/m³,41.378302798550834,2.1893587453616234
432229.274,4581074.508,T00007H,30-40 µg/m³,41.378338897803644,2.189530959430437
432243.459,4581078.413,T00008I,30-40 µg/m³,41.378375263712016,2.189700144781683
432257.772,4581082.416,T00009J,30-40 µg/m³,41.37841252280998,2.1898708499762893
432272.244,4581086.671,T00010C,30-40 µg/m³,41.37845206473857,2.1900434285082535
432286.507,4581090.65,T00011D,30-40 µg/m³,41.3784891029609,2.1902135388952177
432301.054,4581094.902,T00012E,30-40 µg/m³,41.37852862366855,2.19038701502035
432315.522,4581098.979,T00013F,30-40 µg/m³,41.37856656129088,2.190559566230364
432329.98,4581102.623,T00014G,30-40 µg/m³,41.37860059789461,2.1907320464121756
432344.495,4581106.571,T00015H,30-40 µg/m³,41.3786373770843,2.190905174442011
432159.536,4580941.599,T00016I,30-40 µg/m³,41.37713594424184,2.188711920552708
432187.326,4580949.661,T00017J,30-40 µg/m³,41.37721089899166,2.189043320663928
432201.697,4580953.994,T00018K,30-40 µg/m³,41.37725113615244,2.189214679063503
432216.271,4580958.271,T00019L,30-40 µg/m³,41.37729088578197,2.189388471342493
432230.845,4580962.575,T00020E,30-40 µg/m³,41.37733087833274,2.189562260818065
432245.285,4580966.525,T00021F,30-40 µg/m³,41.37736767095238,2.189734487756639
432259.371,4580970.584,T00022G,30-40 µg/m³,41.37740541525029,2.189902469697007
432273.693,4580974.994,T00023H,30-40 µg/m³,41.37744634053497,2.19007323462527
432288.105,4580978.868,T00024I,30-40 µg/m³,41.377482445525686,2.190245135843091
432302.24,4580982.799,T00025J,30-40 µg/m³,41.37751904034165,2.190413718608537
432316.506,4580986.982,T00026K,30-40 µg/m³,41.37755791563082,2.190583839883789
432330.64,4580990.912,T00027L,30-40 µg/m³,41.37759450086273,2.190752411195226
432345.196,4580995.432,T00028M,30-40 µg/m³,41.377636435310166,2.190925962995177
432357.029,4581006.982,T00029N,30-40 µg/m³,41.37774145803007,2.191066169569687
432182.588,4580861.196,T00030G,30-40 µg/m³,41.376413718132234,2.1889965635401847
432210.53,4580868.937,T00031H,30-40 µg/m³,41.376485793680686,2.18932981377837
432224.926,4580873.27,T00032I,30-40 µg/m³,41.376526032509695,2.1895014694028334
432239.448,4580877.472,T00033J,30-40 µg/m³,41.37656510181047,2.1896746465339234
432253.861,4580881.371,T00034K,30-40 µg/m³,41.37660143263185,2.18984655437237
432268.482,4580885.521,T00035L,30-40 µg/m³,41.37664004139842,2.19002092152348
432282.878,4580889.752,T00036M,30-40 µg/m³,41.37667936051477,2.190192589390096
432297.041,4580893.835,T00037N,30-40 µg/m³,41.37671732677492,2.1903614878912467
432311.429,4580897.786,T00038O,30-40 µg/m³,41.37675412282426,2.1905330917820898
432238.507,4580772.768,T00040I,30-40 µg/m³,41.375621980222846,2.1896750994899175
432253.207,4580776.992,T00041J,30-40 µg/m³,41.37566126238096,2.189850400288553
432267.425,4580781.278,T00042K,30-40 µg/m³,41.375701062123255,2.1900199309292003
432164.894,4581000.288,T00049R,30-40 µg/m³,41.377664992623835,2.188769420979426
432191.896,4580907.193,T00050K,30-40 µg/m³,41.37682878572049,2.1891027180573737
432217.323,4580818.814,T00051L,30-40 µg/m³,41.37603492080387,2.1894166461559594
432205.96,4580911.405,T00053N,30-40 µg/m³,41.37686790710668,2.189270418056626
432231.714,4580822.892,T00054O,30-40 µg/m³,41.37607286235486,2.1895882693774102
432193.788,4581008.874,T00055P,30-40 µg/m³,41.377744759788946,2.1891139665420893
432220.664,4580915.858,T00056Q,30-40 µg/m³,41.37690925278251,2.189445744157809
432246.419,4580827.37,T00057R,30-40 µg/m³,41.37611443278729,2.189763602723531
432235.055,4580919.885,T00059T,30-40 µg/m³,41.37694673496147,2.189617375389167
432260.454,4580831.379,T00060M,30-40 µg/m³,41.376151722391256,2.189930977226741
432222.895,4581016.769,T00061N,30-40 µg/m³,41.37781832021042,2.1894611372329806
432249.651,4580924.061,T00062O,30-40 µg/m³,41.37698557615073,2.1897914414722357
432271.38,4580849.119,T00063P,30-40 µg/m³,41.37631242173241,2.1900596419597496
432264.116,4580927.985,T00065R,30-40 µg/m³,41.37702213635143,2.189963969483134
432282.994,4580863.384,T00066S,30-40 µg/m³,41.376441880382,2.190196922305952
432251.419,4581024.702,T00067T,30-40 µg/m³,41.37789217276187,2.189801333102824
432278.132,4580932.35,T00068U,30-40 µg/m³,41.37706263048277,2.1901310794536197
432293.059,4580879.584,T00069V,30-40 µg/m³,41.376588636595905,2.1903154648575716
432265.733,4581028.705,T00070O,30-40 µg/m³,41.377929431786015,2.1899720490564927
432292.601,4580936.478,T00071P,30-40 µg/m³,41.37710102789005,2.19030363290796
432307.072,4580890.114,T00072Q,30-40 µg/m³,41.376684656555106,2.1904818495619836
432280.145,4581032.579,T00073R,30-40 µg/m³,41.37796553693596,2.1901439514837695
432306.933,4580940.176,T00074S,30-40 µg/m³,41.37713554061442,2.190474596399374
432294.339,4581036.89,T00075T,30-40 µg/m³,41.378005559435245,2.190313198492479
432319.767,4580948.281,T00076U,30-40 µg/m³,41.377209619827305,2.1906271554525305
432308.674,4581040.741,T00079X,30-40 µg/m³,41.378041450445956,2.1904841831357738
432331.804,4580961.002,T00080Q,30-40 µg/m³,41.377325206961615,2.1907696692606486
432337.147,4581050.99,T00083T,30-40 µg/m³,41.37813615532511,2.190823512964724
432349.861,4581058.614,T00084U,30-40 µg/m³,41.378205891754014,2.1909746934923455
432360.799,4581075.693,T00085V,30-40 µg/m³,41.37836063748103,2.1911035820441827
432103.922,4581133.884,T00086W,30-40 µg/m³,41.37886311463067,2.1880253694003504
432131.676,4581141.993,T00087X,30-40 µg/m³,41.37893849168856,2.1883563416788347
432146.194,4581146.043,T00088Y,30-40 µg/m³,41.37897619338698,2.1885294936597526
432160.862,4581150.014,T00089Z,30-40 µg/m³,41.37901319594055,2.1887044483810665
432175.021,4581153.918,T00090S,30-40 µg/m³,41.37904955187335,2.188873324198787
432189.231,4581157.847,T00091T,30-40 µg/m³,41.37908613702631,2.189042807267601
432203.751,4581161.974,T00092U,30-40 µg/m³,41.37912453138547,2.1892159753541773
432276.498,4581181.886,T00095X,30-40 µg/m³,41.37930999979415,2.1900836575212637
432290.919,4581185.534,T00096Y,30-40 µg/m³,41.379344070035955,2.190255696507929
432305.304,4581189.333,T00097Z,30-40 µg/m³,41.3793794970114,2.1904272883223572
432319.949,4581193.405,T00098A,30-40 µg/m³,41.379417404442805,2.190601958928947
